title,id,category,level,solved
Yeşim Ağaoğlu,34759758,Turkish video artists,3,False
Barry Shepherd,3597193,Field hockey people from Western Australia,1,False
Nil Yalter,44403147,Turkish video artists,3,False
St. Louis International Film Festival,18026226,Film festivals in Missouri,4,False
Musical Moments from Chopin,39883068,Cultural depictions of Frédéric Chopin,2,False
I Like Chopin,21090667,Cultural depictions of Frédéric Chopin,2,False
Brent Dancer,34990658,Field hockey people from Western Australia,1,False
Eternal Sonata,7119924,Cultural depictions of Frédéric Chopin,2,False
Genco Gulan,36022016,Turkish video artists,3,False
St. Louis Filmmakers Showcase,18212037,Film festivals in Missouri,4,False
True/False Film Festival,13784696,Film festivals in Missouri,4,False
The Farewell Waltz (1928 film),57758051,Cultural depictions of Frédéric Chopin,2,False
Bentley Film Festival,18116088,Film festivals in Missouri,4,False
Hatice Güleryüz,18560289,Turkish video artists,3,False
Kiel Brown,34990639,Field hockey people from Western Australia,1,False
Ian Burcher,35059747,Field hockey people from Western Australia,1,False
